date,type,name,duration_mins,distance_km,elevation_m,avg_power,np,avg_hr,max_hr,tss,intensity_factor,fitness_ctl,fatigue_atl
2026-07-04,OpenWaterSwim,Afternoon Swim 1k,12.0,0.7,0.0,,,138.0,166.0,10.0,49.83,,
2026-06-30,,,,,,,,,,,,,
2026-06-30,,,,,,,,,,,,,
2026-06-24,,,,,,,,,,,,,
2026-06-24,Run,"Pre Intervall ""Warmup""",31.0,4.3,105.0,,,154.0,168.0,30.0,74.75,,
2026-06-23,WeightTraining,Morning Krafttraining,54.0,,0.0,,,112.0,147.0,23.0,50.48,,
2026-06-22,WeightTraining,Morning Krafttraining,54.0,,0.0,,,112.0,156.0,24.0,51.47,,
2026-06-20,WeightTraining,Morning Krafttraining,58.0,,0.0,,,116.0,152.0,27.0,52.93,,
2026-06-17,,,,,,,,,,,,,
2026-06-16,WeightTraining,Morning Krafttraining,65.0,,0.0,,,139.0,170.0,54.0,70.74,,
2026-06-13,TrailRun,Morning Trailrun,159.0,22.3,642.0,,,153.0,175.0,210.0,89.03,,
2026-06-12,,,,,,,,,,,,,
2026-06-10,WeightTraining,Afternoon Krafttraining,60.0,,0.0,,,109.0,139.0,23.0,48.07,,
