date,type,name,duration_mins,distance_km,elevation_m,avg_power,np,avg_hr,max_hr,tss,intensity_factor,fitness_ctl,fatigue_atl
2026-08-12,Ride,Sankt Gallen Rennradfahren,76.0,25.4,462.0,,,138.0,161.0,102.0,89.17,,
2026-08-11,Swim,Lunch Schwimmen,45.0,1.7,0.0,,,159.0,191.0,75.0,93.49,,
2026-08-08,Run,Lunch Laufen,37.0,6.7,27.0,,,157.0,175.0,61.0,99.89,,
2026-08-08,Swim,Morning Schwimmen,30.0,1.1,0.0,,,110.0,145.0,14.0,44.96,,
2026-08-07,WeightTraining,Lunch Krafttraining,54.0,,0.0,,,106.0,148.0,20.0,47.07,,
2026-08-06,Swim,Morning Schwimmen,44.0,1.5,0.0,,,120.0,168.0,23.0,52.13,,
2026-08-05,WeightTraining,Afternoon Krafttraining,46.0,,0.0,,,102.0,153.0,16.0,45.74,,
2026-08-04,Padel,Padel am Abend & Sauna in einem,93.0,,0.0,,,126.0,155.0,55.0,59.7,,
2026-08-03,OpenWaterSwim,1500m Technik,35.0,1.0,0.0,,,118.0,147.0,14.0,43.97,,
2026-08-01,TrailRun,Morning Trailrun,187.0,16.3,1482.0,,,141.0,165.0,183.0,74.79,,
2026-07-31,WeightTraining,Lunch Krafttraining,56.0,,0.0,,,102.0,135.0,19.0,44.99,,
2026-07-29,OpenWaterSwim,Afternoon Freiwasserschwimmen,31.0,1.6,0.0,,,105.0,138.0,11.0,39.76,,
2026-07-29,WeightTraining,Lunch Krafttraining,53.0,,0.0,,,104.0,142.0,18.0,45.31,,
2026-07-28,Padel,Evening Padel,96.0,,0.0,,,129.0,179.0,63.0,62.68,,
2026-07-26,Run,Lunch Laufen,87.0,14.2,109.0,,,148.0,165.0,116.0,89.07,,
2026-07-25,OpenWaterSwim,Afternoon Freiwasserschwimmen,28.0,1.4,0.0,,,121.0,153.0,17.0,52.83,,
2026-07-24,Ride,Sankt Gallen Rennradfahren,293.0,110.4,938.0,,,138.0,167.0,304.0,77.71,,
2026-07-23,WeightTraining,Morning Krafttraining,51.0,,0.0,,,,,,,,
2026-07-21,TrailRun,Morning Trailrun,230.0,23.6,1336.0,,,140.0,167.0,219.0,74.91,,
2026-07-19,TrailRun,Morning Trailrun,159.0,16.1,913.0,,,125.0,159.0,156.0,75.3,,
2026-07-18,TrailRun,Morning Trailrun,108.0,10.9,757.0,,,140.0,161.0,112.0,76.32,,
2026-07-17,WeightTraining,Morning Krafttraining,55.0,,0.0,,,114.0,145.0,25.0,52.29,,
2026-07-16,OpenWaterSwim,Afternoon Freiwasserschwimmen,37.0,1.8,0.0,,,171.0,191.0,70.0,96.52,,
2026-07-14,Padel,Evening Padel,99.0,,0.0,,,131.0,191.0,67.0,63.73,,
2026-07-13,OpenWaterSwim,Afternoon Freiwasserschwimmen,11.0,0.6,0.0,,,132.0,173.0,12.0,60.25,,
2026-07-12,Ride,Sankt Gallen Rennradfahren,263.0,102.3,940.0,,,135.0,165.0,263.0,76.76,,
2026-07-11,OpenWaterSwim,Afternoon Freiwasserschwimmen,18.0,0.7,0.0,,,128.0,150.0,12.0,54.73,,
2026-07-11,Run,Morning Laufen,63.0,10.0,78.0,,,158.0,174.0,85.0,89.42,,
2026-07-10,WeightTraining,Lunch Krafttraining,63.0,,0.0,,,116.0,159.0,30.0,53.59,,
2026-07-09,,,,,,,,,,,,,
2026-07-08,TrailRun,Lunch Trailrun,127.0,15.3,343.0,,,134.0,160.0,107.0,70.07,,
2026-07-06,WeightTraining,Afternoon Krafttraining,59.0,,0.0,,,107.0,149.0,24.0,45.99,,
2026-07-04,OpenWaterSwim,Afternoon Swim 1k,12.0,0.7,0.0,,,138.0,166.0,10.0,49.83,,
2026-06-30,,,,,,,,,,,,,
2026-06-30,,,,,,,,,,,,,
2026-06-24,,,,,,,,,,,,,
2026-06-24,Run,"Pre Intervall ""Warmup""",31.0,4.3,105.0,,,154.0,168.0,30.0,74.75,,
2026-06-23,WeightTraining,Morning Krafttraining,54.0,,0.0,,,112.0,147.0,23.0,50.48,,
2026-06-22,WeightTraining,Morning Krafttraining,54.0,,0.0,,,112.0,156.0,24.0,51.47,,
2026-06-20,WeightTraining,Morning Krafttraining,58.0,,0.0,,,116.0,152.0,27.0,52.93,,
2026-06-17,,,,,,,,,,,,,
2026-06-16,WeightTraining,Morning Krafttraining,65.0,,0.0,,,139.0,170.0,54.0,70.74,,
2026-06-13,TrailRun,Morning Trailrun,159.0,22.3,642.0,,,153.0,175.0,210.0,89.03,,
2026-06-12,,,,,,,,,,,,,
2026-06-10,WeightTraining,Afternoon Krafttraining,60.0,,0.0,,,109.0,139.0,23.0,48.07,,
